State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population,CFR,Recovery Rate,Cases per Million,Deaths per Million
Andaman and Nicobar,10766,0,10637,129,0.0,98.8,1.2,100896618,1.2,98.8,107.0,1.0
Andhra Pradesh,2340676,0,2325943,14733,0.0,99.37,0.63,128500364,0.63,99.37,18215.0,115.0
Arunachal Pradesh,67049,0,66753,296,0.0,99.56,0.44,658019,0.44,99.56,101895.0,450.0
Assam,746159,5,738119,8035,0.0,98.92,1.08,290492,1.08,98.92,2568604.0,27660.0
Bihar,855267,1,842952,12314,0.0,98.56,1.44,40100376,1.44,98.56,21328.0,307.0
Chandigarh,100693,0,99508,1185,0.0,98.82,1.18,30501026,1.18,98.82,3301.0,39.0
Chhattisgarh,1187695,0,1173505,14190,0.0,98.81,1.19,28900667,1.19,98.81,41096.0,491.0
Dadra and Nagar Haveli and Daman and Diu,11592,0,11588,4,0.0,99.97,0.03,231502578,0.03,99.97,50.0,0.0
Delhi,2040910,14,2014230,26666,0.0,98.69,1.31,773997,1.31,98.69,2636845.0,34452.0
Goa,263346,3,259329,4014,0.0,98.47,1.52,3772103,1.52,98.47,69814.0,1064.0
Gujarat,1291383,5,1280299,11079,0.0,99.14,0.86,70400153,0.86,99.14,18343.0,157.0
Haryana,1078903,27,1068121,10755,0.0,99.0,1.0,7503010,1.0,99.0,143796.0,1433.0
Himachal Pradesh,322905,4,318660,4241,0.0,98.69,1.31,3436948,1.31,98.69,93951.0,1234.0
Jammu and Kashmir,482023,0,477231,4792,0.0,99.01,0.99,66001,0.99,99.01,7303268.0,72605.0
Jharkhand,443826,1,438491,5334,0.0,98.8,1.2,124904071,1.2,98.8,3553.0,43.0
Karnataka,4088769,12,4048399,40358,0.0,99.01,0.99,1711947,0.99,99.01,2388374.0,23574.0
Kerala,6907241,18,6835181,72042,0.0,98.96,1.04,91702478,1.04,98.96,75322.0,786.0
Ladakh,29602,0,29371,231,0.0,99.22,0.78,4184959,0.78,99.22,7073.0,55.0
Lakshadweep,11415,0,11363,52,0.0,99.54,0.46,11700099,0.46,99.54,976.0,4.0
Madhya Pradesh,1056351,0,1045565,10786,0.0,98.98,1.02,14999397,1.02,98.98,70426.0,719.0
Maharashtra,8171048,214,8022276,148558,0.0,98.18,1.82,399001,1.82,98.18,20478766.0,372325.0
Manipur,140034,0,137885,2149,0.0,98.47,1.53,47099270,1.53,98.47,2973.0,46.0
Meghalaya,96983,3,95352,1628,0.0,98.32,1.68,79502477,1.68,98.32,1220.0,20.0
Mizoram,239560,1,238825,734,0.0,99.69,0.31,1308967,0.31,99.69,183015.0,561.0
Nagaland,36033,0,35251,782,0.0,97.83,2.17,38157311,2.17,97.83,944.0,20.0
Odisha,1348409,59,1339135,9215,0.0,99.31,0.68,19301096,0.68,99.31,69862.0,477.0
Puducherry,177547,0,175566,1981,0.0,98.88,1.12,2073074,1.12,98.88,85644.0,956.0
Punjab,793644,1233,773073,19338,0.16,97.41,2.44,34698876,2.44,97.41,22872.0,557.0
Rajasthan,1326465,2,1316727,9736,0.0,99.27,0.73,1521992,0.73,99.27,871532.0,6397.0
Sikkim,44927,4,44422,501,0.01,98.88,1.12,83697770,1.12,98.88,537.0,6.0
Tamil Nadu,3610655,5,3572569,38081,0.0,98.95,1.05,35998752,1.05,98.95,100299.0,1058.0
Telengana,844432,8,840313,4111,0.0,99.51,0.49,69599762,0.49,99.51,12133.0,59.0
Tripura,108493,1,107550,942,0.0,99.13,0.87,1646050,0.87,99.13,65911.0,572.0
Uttar Pradesh,2145431,57,2121662,23712,0.0,98.89,1.11,1158040,1.11,98.89,1852640.0,20476.0
Uttarakhand,452571,0,444803,7768,0.0,98.28,1.72,85002417,1.72,98.28,5324.0,91.0
West Bengal,2126282,135,2104592,21555,0.01,98.98,1.01,32199722,1.01,98.98,66034.0,669.0
